Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
1247.1100	13720.0000	8738.0000	12049.0000	11133.0000	45640.0000	99.0000	26.0000	129.0000	110.0000	364.0000
1257.4900	13710.0000	8794.0000	11807.0000	10943.0000	45254.0000	119.0000	24.0000	122.0000	106.0000	371.0000
1267.8700	13433.0000	8692.0000	12044.0000	11197.0000	45366.0000	101.0000	24.0000	124.0000	106.0000	355.0000
1278.2600	13358.0000	8517.0000	11750.0000	10860.0000	44485.0000	93.0000	25.0000	140.0000	105.0000	363.0000
1288.6500	13356.0000	8496.0000	12118.0000	10861.0000	44831.0000	87.0000	26.0000	121.0000	81.0000	315.0000
1299.0200	13189.0000	8595.0000	12105.0000	10682.0000	44571.0000	105.0000	21.0000	130.0000	99.0000	355.0000
1309.4100	13240.0000	8489.0000	11864.0000	10748.0000	44341.0000	101.0000	25.0000	130.0000	110.0000	366.0000
1319.7900	13352.0000	8707.0000	11991.0000	10777.0000	44827.0000	123.0000	18.0000	122.0000	100.0000	363.0000
1330.1810	13513.0000	8632.0000	12032.0000	10958.0000	45135.0000	107.0000	20.0000	119.0000	109.0000	355.0000
