Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
2550.2500	15950.0000	6713.0000	8240.0000	9335.0000	40238.0000	195.0000	59.0000	25.0000	112.0000	391.0000
2560.6300	16109.0000	6741.0000	8596.0000	9457.0000	40903.0000	194.0000	50.0000	30.0000	103.0000	377.0000
2571.0210	23547.0000	9738.0000	12333.0000	13734.0000	59352.0000	273.0000	76.0000	36.0000	146.0000	531.0000
2581.4100	24842.0000	10543.0000	13269.0000	14641.0000	63295.0000	295.0000	71.0000	35.0000	165.0000	566.0000
2591.8000	24056.0000	10337.0000	12945.0000	14698.0000	62036.0000	288.0000	84.0000	54.0000	171.0000	597.0000
2602.1800	24012.0000	10154.0000	13114.0000	14433.0000	61713.0000	279.0000	102.0000	43.0000	157.0000	581.0000
2612.5700	23941.0000	9908.0000	12615.0000	14178.0000	60642.0000	283.0000	75.0000	58.0000	171.0000	587.0000
2622.9600	24043.0000	10024.0000	12818.0000	14239.0000	61124.0000	313.0000	68.0000	37.0000	167.0000	585.0000
2633.3400	23499.0000	10198.0000	12623.0000	14268.0000	60588.0000	288.0000	79.0000	38.0000	178.0000	583.0000
 
