Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
1956.8400	14234.0000	9013.0000	13179.0000	10603.0000	47029.0000	2.0000	63.0000	269.0000	16.0000	350.0000
1967.2300	14294.0000	9279.0000	13374.0000	10609.0000	47556.0000	4.0000	48.0000	248.0000	8.0000	308.0000
1977.6200	14265.0000	9190.0000	13652.0000	10846.0000	47953.0000	6.0000	58.0000	246.0000	6.0000	316.0000
1988.0100	14527.0000	9359.0000	13994.0000	10787.0000	48667.0000	4.0000	65.0000	283.0000	9.0000	361.0000
1998.4000	14662.0000	9580.0000	13752.0000	10915.0000	48909.0000	4.0000	49.0000	275.0000	5.0000	333.0000
2008.7800	14705.0000	9487.0000	13906.0000	10970.0000	49068.0000	3.0000	49.0000	241.0000	8.0000	301.0000
2019.1600	14824.0000	9331.0000	13831.0000	11045.0000	49031.0000	2.0000	54.0000	238.0000	6.0000	300.0000
2029.5400	15361.0000	9376.0000	13965.0000	10854.0000	49556.0000	2.0000	67.0000	276.0000	10.0000	355.0000
2039.9200	14707.0000	9130.0000	13546.0000	10592.0000	47975.0000	4.0000	70.0000	248.0000	6.0000	328.0000
2050.3000	14079.0000	9057.0000	13335.0000	10416.0000	46887.0000	4.0000	53.0000	233.0000	5.0000	295.0000
