Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
269.4200	15253.0000	9996.0000	11385.0000	13971.0000	50605.0000	233.0000	0.0000	3.0000	241.0000	477.0000
279.8100	17055.0000	11283.0000	12810.0000	15234.0000	56382.0000	268.0000	2.0000	5.0000	279.0000	554.0000
290.2000	16585.0000	10794.0000	12068.0000	14876.0000	54323.0000	268.0000	3.0000	4.0000	282.0000	557.0000
300.5900	15789.0000	10292.0000	11353.0000	13901.0000	51335.0000	257.0000	0.0000	3.0000	240.0000	500.0000
310.9800	13674.0000	8826.0000	9995.0000	11940.0000	44435.0000	228.0000	1.0000	3.0000	193.0000	425.0000
321.3600	13484.0000	8942.0000	9973.0000	12206.0000	44605.0000	205.0000	1.0000	2.0000	202.0000	410.0000
331.7500	13692.0000	9055.0000	10330.0000	12342.0000	45419.0000	236.0000	0.0000	1.0000	235.0000	472.0000
342.1400	14225.0000	9222.0000	10139.0000	12357.0000	45943.0000	217.0000	1.0000	4.0000	222.0000	444.0000
352.5200	14072.0000	9415.0000	10345.0000	12658.0000	46490.0000	197.0000	0.0000	2.0000	251.0000	450.0000
362.9100	14750.0000	9473.0000	10822.0000	13135.0000	48180.0000	219.0000	1.0000	4.0000	232.0000	456.0000
