Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
1524.0900	12995.0000	8404.0000	12167.0000	9772.0000	43338.0000	32.0000	45.0000	223.0000	39.0000	339.0000
1534.4700	13409.0000	8308.0000	12286.0000	9987.0000	43990.0000	33.0000	42.0000	201.0000	25.0000	301.0000
1544.8500	13037.0000	8382.0000	12329.0000	10283.0000	44031.0000	36.0000	31.0000	210.0000	38.0000	315.0000
1555.2400	13277.0000	8384.0000	12274.0000	10035.0000	43970.0000	40.0000	38.0000	216.0000	31.0000	325.0000
1565.6200	13135.0000	8510.0000	12684.0000	10116.0000	44445.0000	27.0000	31.0000	206.0000	35.0000	299.0000
1576.0100	13392.0000	8576.0000	12498.0000	10242.0000	44708.0000	35.0000	45.0000	192.0000	38.0000	310.0000
1586.4000	13346.0000	8350.0000	12408.0000	10062.0000	44166.0000	40.0000	38.0000	207.0000	37.0000	322.0000
1596.7800	13484.0000	8341.0000	12172.0000	10026.0000	44023.0000	33.0000	34.0000	192.0000	39.0000	298.0000
1607.1700	13453.0000	8546.0000	12262.0000	10131.0000	44392.0000	45.0000	37.0000	210.0000	38.0000	330.0000
1617.5500	13403.0000	8421.0000	12268.0000	10042.0000	44134.0000	32.0000	38.0000	189.0000	31.0000	290.0000
