Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
2098.0000	13854.0000	8800.0000	12810.0000	10374.0000	45838.0000	19.0000	58.0000	199.0000	25.0000	301.0000
2108.3800	13536.0000	8938.0000	12723.0000	10178.0000	45375.0000	18.0000	48.0000	245.0000	22.0000	333.0000
2118.7700	13727.0000	8757.0000	12736.0000	10274.0000	45494.0000	13.0000	50.0000	244.0000	15.0000	322.0000
2129.1600	14170.0000	8973.0000	12739.0000	10479.0000	46361.0000	13.0000	51.0000	266.0000	21.0000	351.0000
2139.5500	14092.0000	9304.0000	12973.0000	10640.0000	47009.0000	18.0000	55.0000	243.0000	24.0000	340.0000
2149.9300	14041.0000	9017.0000	13112.0000	10639.0000	46809.0000	15.0000	52.0000	200.0000	25.0000	292.0000
2160.3210	14103.0000	8989.0000	12967.0000	10639.0000	46698.0000	17.0000	59.0000	220.0000	23.0000	319.0000
2170.7000	13084.0000	8489.0000	12186.0000	9737.0000	43496.0000	12.0000	45.0000	219.0000	19.0000	295.0000
2181.0900	12982.0000	8424.0000	12125.0000	9827.0000	43358.0000	10.0000	47.0000	216.0000	16.0000	289.0000
