Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
2779.5900	21316.0000	8992.0000	12034.0000	12408.0000	54750.0000	306.0000	59.0000	30.0000	153.0000	548.0000
2789.9800	21840.0000	9037.0000	11868.0000	12387.0000	55132.0000	326.0000	55.0000	20.0000	160.0000	561.0000
2800.3700	22047.0000	9279.0000	12151.0000	12717.0000	56194.0000	299.0000	53.0000	30.0000	151.0000	533.0000
2810.7600	22605.0000	9481.0000	12394.0000	12701.0000	57181.0000	302.0000	52.0000	37.0000	157.0000	548.0000
2821.1500	22212.0000	9548.0000	12298.0000	13012.0000	57070.0000	285.0000	39.0000	28.0000	171.0000	523.0000
2831.5400	22503.0000	9937.0000	12663.0000	13138.0000	58241.0000	321.0000	59.0000	24.0000	148.0000	552.0000
2841.9310	22572.0000	9513.0000	12530.0000	13164.0000	57779.0000	311.0000	42.0000	27.0000	167.0000	547.0000
2852.3200	22570.0000	9632.0000	12514.0000	12878.0000	57594.0000	290.0000	43.0000	27.0000	151.0000	511.0000
2862.7100	21831.0000	9399.0000	12548.0000	12906.0000	56684.0000	285.0000	54.0000	19.0000	158.0000	516.0000
2873.1000	21170.0000	9074.0000	11856.0000	12297.0000	54397.0000	269.0000	48.0000	16.0000	147.0000	480.0000
2883.4700	20746.0000	8809.0000	11419.0000	11991.0000	52965.0000	285.0000	50.0000	20.0000	152.0000	507.0000
