Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
1801.5700	13393.0000	8378.0000	12364.0000	9613.0000	43748.0000	1.0000	62.0000	250.0000	3.0000	316.0000
1811.9600	12741.0000	8231.0000	12016.0000	9477.0000	42465.0000	3.0000	48.0000	211.0000	1.0000	263.0000
1822.3510	12299.0000	7662.0000	11251.0000	8867.0000	40079.0000	1.0000	56.0000	210.0000	4.0000	271.0000
1832.7300	11849.0000	7591.0000	11336.0000	8975.0000	39751.0000	2.0000	31.0000	194.0000	3.0000	230.0000
1843.1000	12093.0000	7802.0000	11245.0000	8976.0000	40116.0000	1.0000	50.0000	224.0000	7.0000	282.0000
1853.4900	12619.0000	7914.0000	11569.0000	9103.0000	41205.0000	3.0000	47.0000	226.0000	4.0000	280.0000
1863.8800	12588.0000	7968.0000	11812.0000	9352.0000	41720.0000	2.0000	51.0000	214.0000	5.0000	272.0000
1874.2700	13341.0000	8504.0000	12189.0000	9574.0000	43608.0000	4.0000	63.0000	249.0000	2.0000	318.0000
1884.6600	13188.0000	8498.0000	12364.0000	9818.0000	43868.0000	1.0000	46.0000	235.0000	5.0000	287.0000
1895.0500	13486.0000	8572.0000	12617.0000	9851.0000	44526.0000	2.0000	56.0000	233.0000	5.0000	296.0000
