Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
1661.1400	13301.0000	8338.0000	12265.0000	9731.0000	43635.0000	9.0000	49.0000	238.0000	7.0000	303.0000
1671.5310	13271.0000	8219.0000	12091.0000	9695.0000	43276.0000	10.0000	40.0000	188.0000	10.0000	248.0000
1681.9200	12915.0000	8248.0000	12000.0000	9674.0000	42837.0000	14.0000	59.0000	216.0000	11.0000	300.0000
1692.3100	13502.0000	8272.0000	11869.0000	9580.0000	43223.0000	12.0000	37.0000	211.0000	18.0000	278.0000
1702.7010	13363.0000	8511.0000	12499.0000	9828.0000	44201.0000	10.0000	48.0000	219.0000	18.0000	295.0000
1713.0800	12401.0000	8110.0000	11746.0000	9316.0000	41573.0000	20.0000	40.0000	221.0000	12.0000	293.0000
1723.4600	15029.0000	9675.0000	14056.0000	11281.0000	50041.0000	17.0000	59.0000	257.0000	27.0000	360.0000
1733.8500	15202.0000	9678.0000	14259.0000	11225.0000	50364.0000	15.0000	51.0000	259.0000	25.0000	350.0000
1744.2400	12235.0000	7978.0000	11671.0000	9427.0000	41311.0000	10.0000	42.0000	207.0000	9.0000	268.0000
1754.6300	12567.0000	7954.0000	11383.0000	9273.0000	41177.0000	14.0000	42.0000	178.0000	14.0000	248.0000
