Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
1379.0100	13330.0000	8358.0000	12095.0000	10423.0000	44206.0000	55.0000	36.0000	156.0000	57.0000	304.0000
1389.4000	13373.0000	8711.0000	12185.0000	10424.0000	44693.0000	65.0000	36.0000	150.0000	80.0000	331.0000
1399.7800	13307.0000	8606.0000	12190.0000	10553.0000	44656.0000	66.0000	24.0000	170.0000	56.0000	316.0000
1410.1600	13558.0000	8652.0000	12286.0000	10825.0000	45321.0000	83.0000	37.0000	155.0000	78.0000	353.0000
1420.5500	13491.0000	8785.0000	12331.0000	10597.0000	45204.0000	62.0000	42.0000	157.0000	70.0000	331.0000
1430.9400	13361.0000	8533.0000	12429.0000	10499.0000	44822.0000	58.0000	26.0000	180.0000	79.0000	343.0000
1441.3300	13541.0000	8658.0000	12227.0000	10379.0000	44805.0000	66.0000	34.0000	154.0000	68.0000	322.0000
1451.7200	13391.0000	8528.0000	12320.0000	10592.0000	44831.0000	76.0000	38.0000	152.0000	76.0000	342.0000
1462.1000	13174.0000	8661.0000	12154.0000	10529.0000	44518.0000	56.0000	31.0000	162.0000	77.0000	326.0000
1472.4900	13308.0000	8788.0000	12277.0000	10559.0000	44932.0000	67.0000	31.0000	174.0000	67.0000	339.0000
