Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
2249.3700	12848.0000	8270.0000	11677.0000	10282.0000	43077.0000	32.0000	51.0000	184.0000	54.0000	321.0000
2259.7600	11963.0000	7473.0000	10835.0000	9315.0000	39586.0000	35.0000	50.0000	157.0000	45.0000	287.0000
2270.1500	11904.0000	7587.0000	10595.0000	9082.0000	39168.0000	30.0000	35.0000	156.0000	38.0000	259.0000
2280.5300	11678.0000	7711.0000	10766.0000	9170.0000	39325.0000	26.0000	47.0000	166.0000	32.0000	271.0000
2290.9200	12668.0000	8457.0000	12149.0000	10133.0000	43407.0000	37.0000	34.0000	184.0000	50.0000	305.0000
2301.3100	13205.0000	8528.0000	11985.0000	10289.0000	44007.0000	30.0000	33.0000	191.0000	49.0000	303.0000
2311.7000	12997.0000	8367.0000	11672.0000	10125.0000	43161.0000	26.0000	52.0000	186.0000	46.0000	310.0000
2322.0900	12399.0000	7819.0000	11566.0000	9553.0000	41337.0000	33.0000	45.0000	184.0000	39.0000	301.0000
2332.4800	12368.0000	7759.0000	11269.0000	9347.0000	40743.0000	42.0000	41.0000	165.0000	39.0000	287.0000
