Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
3214.5900	24902.0000	10401.0000	15224.0000	14011.0000	64538.0000	393.0000	21.0000	17.0000	149.0000	580.0000
3224.9800	25442.0000	10727.0000	15419.0000	14090.0000	65678.0000	424.0000	19.0000	26.0000	177.0000	646.0000
3235.3700	25436.0000	10566.0000	15528.0000	14179.0000	65709.0000	437.0000	28.0000	25.0000	164.0000	654.0000
3245.7600	25282.0000	10865.0000	15452.0000	14098.0000	65697.0000	423.0000	12.0000	19.0000	214.0000	668.0000
3256.1500	25611.0000	10733.0000	15492.0000	14160.0000	65996.0000	424.0000	20.0000	18.0000	147.0000	609.0000
3266.5400	25691.0000	10789.0000	15564.0000	14060.0000	66104.0000	425.0000	13.0000	32.0000	165.0000	635.0000
3276.9300	25218.0000	10721.0000	15555.0000	14217.0000	65711.0000	396.0000	12.0000	14.0000	169.0000	591.0000
3287.3200	24594.0000	10539.0000	15334.0000	13861.0000	64328.0000	429.0000	16.0000	16.0000	176.0000	637.0000
3297.7100	23537.0000	10201.0000	14935.0000	13461.0000	62134.0000	369.0000	18.0000	27.0000	162.0000	576.0000
3308.1000	23003.0000	9893.0000	14321.0000	12971.0000	60188.0000	375.0000	17.0000	26.0000	169.0000	587.0000
