Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
3692.3500	21432.0000	9266.0000	14702.0000	11333.0000	56733.0000	341.0000	11.0000	96.0000	95.0000	543.0000
3702.7400	21713.0000	9226.0000	14554.0000	11241.0000	56734.0000	326.0000	12.0000	92.0000	107.0000	537.0000
3713.1300	22219.0000	9259.0000	14712.0000	11344.0000	57534.0000	330.0000	7.0000	67.0000	94.0000	498.0000
3723.5000	22087.0000	9282.0000	14707.0000	11313.0000	57389.0000	336.0000	11.0000	95.0000	86.0000	528.0000
3733.8900	21752.0000	9324.0000	14734.0000	11227.0000	57037.0000	360.0000	13.0000	85.0000	75.0000	533.0000
3744.2700	21753.0000	9212.0000	14756.0000	11279.0000	57000.0000	333.0000	14.0000	95.0000	75.0000	517.0000
3754.6600	21337.0000	8934.0000	14469.0000	10905.0000	55645.0000	330.0000	9.0000	101.0000	98.0000	538.0000
3765.0500	20821.0000	8720.0000	14033.0000	10634.0000	54208.0000	318.0000	5.0000	88.0000	79.0000	490.0000
3775.4300	20540.0000	8836.0000	13730.0000	10404.0000	53510.0000	336.0000	6.0000	95.0000	77.0000	514.0000
3785.8200	20083.0000	8520.0000	13532.0000	10585.0000	52720.0000	301.0000	10.0000	63.0000	75.0000	449.0000
