Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
3550.5100	21433.0000	8997.0000	14579.0000	11357.0000	56366.0000	364.0000	4.0000	55.0000	107.0000	530.0000
3560.9000	21256.0000	9243.0000	14386.0000	11432.0000	56317.0000	332.0000	3.0000	60.0000	95.0000	490.0000
3571.2800	21894.0000	8982.0000	14356.0000	11416.0000	56648.0000	335.0000	3.0000	59.0000	103.0000	500.0000
3581.6500	22701.0000	9623.0000	14901.0000	11790.0000	59015.0000	336.0000	3.0000	60.0000	118.0000	517.0000
3592.0400	22774.0000	9748.0000	15142.0000	11836.0000	59500.0000	362.0000	4.0000	62.0000	127.0000	555.0000
3602.4300	21719.0000	9233.0000	14687.0000	11411.0000	57050.0000	358.0000	2.0000	60.0000	88.0000	508.0000
3612.8200	21247.0000	9228.0000	14536.0000	11382.0000	56393.0000	397.0000	1.0000	67.0000	106.0000	571.0000
3623.2100	21512.0000	9087.0000	14329.0000	11333.0000	56261.0000	397.0000	2.0000	64.0000	120.0000	583.0000
3633.6000	20952.0000	9065.0000	14234.0000	11049.0000	55300.0000	353.0000	0.0000	63.0000	85.0000	501.0000
3643.9900	21194.0000	8948.0000	14234.0000	11113.0000	55489.0000	354.0000	1.0000	69.0000	98.0000	522.0000
