Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
3033.1600	19796.0000	8262.0000	11483.0000	11453.0000	50994.0000	310.0000	30.0000	23.0000	117.0000	480.0000
3043.5500	20158.0000	8634.0000	11825.0000	11505.0000	52122.0000	284.0000	24.0000	21.0000	154.0000	483.0000
3053.9400	20565.0000	8649.0000	12043.0000	11586.0000	52843.0000	326.0000	34.0000	12.0000	134.0000	506.0000
3064.3200	20873.0000	8831.0000	12419.0000	11623.0000	53746.0000	331.0000	25.0000	25.0000	134.0000	515.0000
3074.7100	20566.0000	8897.0000	11963.0000	11783.0000	53209.0000	323.0000	32.0000	13.0000	147.0000	515.0000
3085.1000	20732.0000	8733.0000	12372.0000	11851.0000	53688.0000	312.0000	23.0000	17.0000	172.0000	524.0000
3095.4810	20458.0000	8700.0000	12176.0000	11897.0000	53231.0000	353.0000	30.0000	18.0000	139.0000	540.0000
3105.8700	19998.0000	8563.0000	11807.0000	11670.0000	52038.0000	292.0000	23.0000	17.0000	137.0000	469.0000
3116.2600	20546.0000	8662.0000	12235.0000	11598.0000	53041.0000	319.0000	30.0000	15.0000	121.0000	485.0000
3126.6500	21164.0000	8735.0000	12328.0000	11916.0000	54143.0000	302.0000	35.0000	19.0000	152.0000	508.0000
3137.0400	20516.0000	8790.0000	12012.0000	11764.0000	53082.0000	311.0000	29.0000	21.0000	164.0000	525.0000
