Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
3987.9500	21387.0000	8801.0000	14252.0000	10864.0000	55304.0000	202.0000	49.0000	130.0000	31.0000	412.0000
3998.3400	21563.0000	8916.0000	14561.0000	10818.0000	55858.0000	204.0000	48.0000	132.0000	32.0000	416.0000
4008.7300	21243.0000	9004.0000	14518.0000	10976.0000	55741.0000	206.0000	56.0000	157.0000	34.0000	453.0000
4019.1200	21418.0000	8875.0000	14730.0000	11055.0000	56078.0000	230.0000	43.0000	143.0000	41.0000	457.0000
4029.5100	21627.0000	9038.0000	14491.0000	11130.0000	56286.0000	237.0000	41.0000	142.0000	32.0000	452.0000
4039.9000	21598.0000	8982.0000	14669.0000	11015.0000	56264.0000	222.0000	54.0000	122.0000	37.0000	435.0000
4050.2900	21260.0000	8960.0000	14663.0000	10886.0000	55769.0000	235.0000	49.0000	145.0000	39.0000	468.0000
4060.6800	20137.0000	8754.0000	13772.0000	10490.0000	53153.0000	194.0000	43.0000	130.0000	31.0000	398.0000
4071.0700	20475.0000	8871.0000	13629.0000	10375.0000	53350.0000	200.0000	47.0000	138.0000	31.0000	416.0000
4081.4600	20927.0000	8929.0000	14148.0000	10741.0000	54745.0000	216.0000	35.0000	137.0000	37.0000	425.0000
