Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
2407.9600	16483.0000	7031.0000	8352.0000	9799.0000	41665.0000	77.0000	95.0000	78.0000	81.0000	331.0000
2418.3400	16697.0000	6956.0000	8404.0000	9918.0000	41975.0000	96.0000	78.0000	77.0000	79.0000	330.0000
2428.7200	16614.0000	7069.0000	8332.0000	10115.0000	42130.0000	84.0000	88.0000	92.0000	84.0000	348.0000
2439.1000	16516.0000	6943.0000	8277.0000	9847.0000	41583.0000	91.0000	89.0000	70.0000	73.0000	323.0000
2449.4900	16378.0000	6824.0000	8207.0000	9927.0000	41336.0000	82.0000	91.0000	71.0000	91.0000	335.0000
2459.8800	16072.0000	6955.0000	8165.0000	9797.0000	40989.0000	77.0000	113.0000	87.0000	83.0000	360.0000
2470.2700	16073.0000	6841.0000	8273.0000	9584.0000	40771.0000	94.0000	85.0000	95.0000	80.0000	354.0000
2480.6600	17593.0000	7324.0000	8598.0000	10390.0000	43905.0000	91.0000	73.0000	102.0000	100.0000	366.0000
2491.0400	18378.0000	7649.0000	9078.0000	10834.0000	45939.0000	87.0000	104.0000	85.0000	81.0000	357.0000
2501.4300	18380.0000	7626.0000	9256.0000	11065.0000	46327.0000	100.0000	89.0000	87.0000	102.0000	378.0000
