Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
3843.3000	18946.0000	7870.0000	12500.0000	9439.0000	48755.0000	233.0000	14.0000	88.0000	44.0000	379.0000
3853.6800	18747.0000	7848.0000	12649.0000	9472.0000	48716.0000	230.0000	31.0000	113.0000	51.0000	425.0000
3864.0700	18375.0000	7672.0000	12445.0000	9394.0000	47886.0000	248.0000	23.0000	91.0000	46.0000	408.0000
3874.4400	18166.0000	7646.0000	12372.0000	9396.0000	47580.0000	230.0000	25.0000	97.0000	43.0000	395.0000
3884.8210	18355.0000	7762.0000	12400.0000	9504.0000	48021.0000	248.0000	20.0000	92.0000	45.0000	405.0000
3895.2100	18169.0000	7800.0000	12323.0000	9482.0000	47774.0000	244.0000	20.0000	96.0000	56.0000	416.0000
3905.6000	18294.0000	7630.0000	12471.0000	9301.0000	47696.0000	243.0000	19.0000	95.0000	44.0000	401.0000
3915.9900	17817.0000	7619.0000	12339.0000	9194.0000	46969.0000	245.0000	24.0000	104.0000	54.0000	427.0000
3926.3800	18728.0000	7756.0000	12415.0000	9396.0000	48295.0000	230.0000	24.0000	89.0000	54.0000	397.0000
3936.7700	18895.0000	8008.0000	12541.0000	9718.0000	49162.0000	226.0000	29.0000	88.0000	52.0000	395.0000
