Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
3360.6800	22550.0000	9723.0000	14834.0000	12319.0000	59426.0000	392.0000	1.0000	35.0000	125.0000	553.0000
3371.0700	22950.0000	9639.0000	14937.0000	12395.0000	59921.0000	403.0000	3.0000	51.0000	134.0000	591.0000
3381.4500	22888.0000	9869.0000	15105.0000	12630.0000	60492.0000	374.0000	3.0000	40.0000	139.0000	556.0000
3391.8400	24134.0000	10239.0000	15665.0000	13013.0000	63051.0000	454.0000	0.0000	35.0000	127.0000	616.0000
3402.2300	24238.0000	10454.0000	16043.0000	13196.0000	63931.0000	433.0000	4.0000	55.0000	156.0000	648.0000
3412.6200	24721.0000	10354.0000	15779.0000	13485.0000	64339.0000	415.0000	2.0000	34.0000	158.0000	609.0000
3423.0000	23669.0000	10023.0000	15388.0000	12748.0000	61828.0000	395.0000	4.0000	46.0000	149.0000	594.0000
3433.3800	21005.0000	9116.0000	13820.0000	11671.0000	55612.0000	345.0000	2.0000	39.0000	131.0000	517.0000
3443.7700	20717.0000	8699.0000	13463.0000	11360.0000	54239.0000	381.0000	6.0000	23.0000	133.0000	543.0000
3454.1600	20410.0000	8825.0000	13388.0000	11323.0000	53946.0000	364.0000	3.0000	29.0000	124.0000	520.0000
3464.5500	20752.0000	8675.0000	13300.0000	11086.0000	53813.0000	345.0000	4.0000	27.0000	126.0000	502.0000
3474.9300	20022.0000	8363.0000	12987.0000	10916.0000	52288.0000	350.0000	3.0000	34.0000	112.0000	499.0000
